Player,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season,team,Ht,Wt,Exp,PER,TS%,3PAr,AST%,STL%,BLK%,TOV%,USG%,OWS,WS,WS/48,BPM,OBPM,VORP,TRB%
Manute Bol,C,31,8,0,7.6,0.1,1.5,.083,0.0,0.4,.000,0.1,1.1,.111,.083,0.0,0.0,0,0.1,1.3,1.4,0.0,0.0,0.8,0.6,0.5,0.3,1994/1995,MIA,7-7,200,8,-3.4,.083,.250,0.0,0.0,6.8,29.4,12.0,-0.3,-0.3,-0.197,-11.6,-9.8,-0.1,10.2
Manute Bol,C,31,2,0,3.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,1994/1995,WSB,7-7,200,8,10.7,0,0,20.6,0.0,10.4,0,0.0,0.0,0.0,.104,5.0,-0.8,0.0,9.7
Manute Bol,C,31,4,0,12.3,0.8,1.8,.429,0.0,0.0,0,0.8,1.8,.429,.429,0.0,0.0,0,0.5,1.0,1.5,0.0,0.5,2.3,0.0,2.0,1.5,1994/1995,PHI,7-7,200,8,10.2,.429,.000,0.0,2.0,11.1,0.0,6.2,0.0,0.1,.076,-1.1,-5.5,0.0,6.7
Walter Bond,SG,24,56,4,10.0,1.1,2.8,.404,0.3,1.0,.352,0.8,1.8,.431,.465,0.6,0.7,.775,0.4,0.7,1.1,0.6,0.3,0.2,0.3,1.6,3.1,1994/1995,UTA,6-5,200,1,9.1,.507,.346,8.0,1.5,1.5,8.9,15.1,0.5,1.0,.089,-2.3,-2.6,0.0,6.3
Anthony Bonner,SF,25,73,38,19.2,2.2,3.9,.563,0.0,0.0,0,2.2,3.9,.563,.563,0.7,1.4,.476,2.1,2.7,4.7,1.2,1.0,0.2,1.2,2.4,5.1,1994/1995,NYK,6-8,215,3,12.6,.560,.000,9.4,2.8,0.7,21.0,13.2,0.9,4.1,.140,1.0,-1.4,1.1,13.9
Anthony Bowie,SG,30,70,0,13.5,2.0,4.1,.481,0.0,0.3,.056,2.0,3.9,.509,.483,0.6,0.7,.837,0.4,1.3,1.7,1.5,0.5,0.2,0.8,1.2,4.6,1994/1995,ORL,6-6,190,4,11.5,.515,.062,15.4,1.7,0.8,15.7,16.6,0.6,1.3,.065,-1.7,-1.9,0.1,7.1
Sam Bowie,C,32,25,7,22.2,3.0,6.9,.436,0.0,0.2,.250,3.0,6.7,.440,.439,2.9,3.3,.867,1.1,4.2,5.2,1.9,0.2,1.1,1.7,2.6,8.9,1994/1995,LAL,7-1,235,8,13.6,.535,.023,12.1,0.4,3.2,17.1,19.1,0.4,0.8,.073,-1.8,-1.8,0.0,12.8
Shawn Bradley,C,21,49,45,28.3,4.1,10.0,.409,0.0,0.1,.000,4.1,10.0,.412,.409,2.1,3.4,.607,2.0,4.2,6.2,2.0,0.9,3.0,3.0,3.5,10.3,1994/1995,PHI,7-6,235,R,11.6,.446,.006,11.1,1.6,6.4,20.8,22.4,-2.7,-1.1,-0.039,-3.4,-5.1,-0.5,12.1
Terrell Brandon,PG,23,73,10,21.2,3.2,7.5,.420,0.1,0.4,.219,3.1,7.1,.432,.426,1.9,2.2,.858,0.5,1.7,2.2,3.8,1.2,0.2,1.5,1.5,8.3,1994/1995,CLE,5-11,180,2,15.0,.489,.058,27.9,2.8,0.7,15.2,21.1,1.1,2.9,.091,0.3,-0.5,0.9,6.0
Randy Breuer,C,33,26,3,9.5,0.3,1.0,.308,0.0,0.0,.000,0.3,1.0,.320,.308,0.1,0.5,.214,0.6,1.6,2.2,0.3,0.2,0.7,0.3,1.2,0.7,1994/1995,SAC,7-3,230,10,5.4,.295,.038,4.2,1.2,4.9,21.9,7.0,-0.3,0.0,-0.007,-4.7,-5.6,-0.2,12.4
